iter	TotalF1	MultiClass
141	0.8468953941	0.806647632
142	0.8499304836	0.8047738956
143	0.8437491476	0.8029911841
144	0.8496851165	0.8009922786
145	0.8466513138	0.7994058964
146	0.849762206	0.7979517041
147	0.8467228922	0.796736093
148	0.8467228922	0.7956710665
149	0.8468396105	0.7931709134
150	0.8407803238	0.7919658848
151	0.8437063009	0.7908590058
152	0.8438083021	0.7888718142
153	0.8467606953	0.7875812925
154	0.8467606953	0.786238503
155	0.8467739807	0.7851173043
156	0.8498004283	0.7841241424
157	0.8498004283	0.7829234405
158	0.8528941189	0.7817538689
159	0.8528024641	0.7796545153
160	0.8497847972	0.7782591332
161	0.8528024641	0.7765682804
162	0.8498868875	0.7750436427
163	0.8528289372	0.7739197862
164	0.8557656813	0.772445184
165	0.8558466041	0.7707887826
166	0.8588218521	0.7692704794
167	0.8587525221	0.7679207521
168	0.8618394711	0.7666742478
169	0.8648306285	0.7644567389
170	0.8647974102	0.7627844063
171	0.8678199257	0.7614007345
172	0.8678199257	0.7597859983
173	0.8678199257	0.7584978085
174	0.8648511695	0.7572688666
175	0.8678199257	0.7557521666
176	0.8648394042	0.7538752042
177	0.8648394042	0.7528049529
178	0.8648394042	0.7514149758
179	0.8648394042	0.7498630812
180	0.8648394042	0.7485593764
181	0.8648394042	0.7471022531
182	0.8648394042	0.7453654308
183	0.8618567535	0.7441779518
184	0.8618567535	0.7434670109
185	0.8588417763	0.7422379675
186	0.8618567535	0.7406761855
187	0.8678020125	0.7389759136
188	0.8678020125	0.7368864137
189	0.870869518	0.735036405
190	0.8678020125	0.7340294208
191	0.870869518	0.7323842153
192	0.8678020125	0.7310027791
193	0.8678020125	0.729728051
194	0.8708203662	0.728629723
195	0.8738861092	0.7268083314
196	0.8798909807	0.725308637
197	0.8798909807	0.7246453382
198	0.8798909807	0.7230516504
199	0.8798909807	0.7212899792
200	0.8738996235	0.7192303425
201	0.8738996235	0.7175155573
202	0.8738996235	0.7162362292
203	0.876910678	0.7142291535
204	0.8738996235	0.7126928464
205	0.8738996235	0.711499042
206	0.8738996235	0.7102366759
207	0.876910678	0.7094230311
208	0.876910678	0.7079564861
209	0.8798408145	0.7068330461
210	0.8798408145	0.7062382158
211	0.8799229008	0.7046990411
212	0.8828643224	0.703365095
213	0.8738914353	0.7018997877
214	0.8798582027	0.7008035462
215	0.8828110599	0.6993953041
216	0.8797277841	0.6977140214
217	0.8798408145	0.6961461635
218	0.8798408145	0.6946522238
219	0.8797277841	0.692829775
220	0.8827675257	0.691130954
221	0.8797277841	0.6891638015
222	0.8827367323	0.6885867101
223	0.8797277841	0.6875084915
224	0.8797277841	0.6863599171
225	0.8827367323	0.684814487
226	0.8827367323	0.6833861103
227	0.8858277899	0.6822229641
228	0.8858277899	0.6812967026
229	0.8888546377	0.679373414
230	0.8858277899	0.6784299211
231	0.8888546377	0.6765305705
232	0.882817005	0.6750105899
233	0.8858277899	0.673612943
234	0.8858277899	0.672335326
235	0.8888546377	0.6712087984
236	0.8918767851	0.6702457501
237	0.8918767851	0.6688868609
238	0.8918767851	0.6670499291
239	0.8918767851	0.6662397409
240	0.89182241	0.6651925893
241	0.8887903654	0.6640572071
242	0.8887903654	0.6630776694
243	0.89182241	0.6621123947
244	0.89182241	0.6609005692
245	0.8948755807	0.6595169338
246	0.8948755807	0.6582538853
247	0.9008892479	0.6573737291
248	0.9008658469	0.6555630215
249	0.9039293774	0.6536143736
250	0.9038749228	0.6526804724
251	0.9008658469	0.6515138374
252	0.9008658469	0.6498973806
253	0.9008658469	0.648807916
254	0.9008658469	0.647495159
255	0.9038824487	0.6462263997
256	0.90689296	0.6450325943
257	0.90689296	0.6441312194
258	0.90689296	0.6435138274
259	0.9099072512	0.6428839596
260	0.9099072512	0.6419991436
261	0.9069189602	0.6407328794
262	0.9099072512	0.6398627923
263	0.9099435556	0.6379053166
264	0.9099072512	0.6367538387
265	0.9129425316	0.635636619
266	0.9099419766	0.6345206269
267	0.9069442883	0.6333646267
